"Reino","Filo","Classe","Ordem","Familia","Genero","Nome_Cientifico","Nome_Cientifico_Anterior","Autor","Nome_Comum","Grupo","Mes_Ano_Avaliacao","Categoria","Possivemente_Extinta","Criterio","Justificativa","Endemica_Brasil","Consta_em_Lista_Nacional_Oficial","Estado","Regiao","Bioma","Bacia_Hidrografica","Unidade_de_Conservacao_Federal","Unidade_de_Conservacao_Estadual","RPPN","Migratoria","Tendencia_Populacional","Ameaca","Uso","Acao_Conservacao","Plano_de_Acao","Listas_e_Convencoes","Altitude_min_max_","Barimetria_min_max_"
"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Physalaemus","Physalaemus crombiei","Physalaemus crombiei","Heyer & Wolf, 1989","Rãzinha-do-folhiço","Anfíbios","09/2018","Menos Preocupante","","","Physalaemus crombiei é endêmica do Brasil, com distribuição na Mata Atlântica nos estados do Minas Gerais, Espírito Santo e no sul da Bahia. Sua extensão de ocorrência calculada é de 97.864km2. Embora em alguns locais dessa área haja perda de vegetação nativa, não há ameaças que possam afetar toda a sua população. Essa espécie pode ser encontrada em florestas primárias e secundárias, no interior e nas bordas das matas. Ocorre em unidades de conservação. Por essas razões, Physalaemus crombiei foi avaliada como Menos Preocupante (LC).","Sim","Não","Bahia, Espírito Santo, Minas Gerais","|Nordeste|Sudeste|","Mata Atlântica","Sub-bacia Doce Sub-bacia Litoral BA ES Sub-bacia Litoral ES","FLONA de Goytacazes, REBIO Augusto Ruschi, REBIO de Sooretama, REBIO do Córrego do Veado","ÁREA DE PROTEÇÃO AMBIENTAL ÁGUAS VERTENTES, ÁREA DE PROTEÇÃO AMBIENTAL DO PICO DO GOIAPABA-AÇU, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL MESTRE ÁLVARO, PARQUE ESTADUAL DA FONTE GRANDE, PARQUE ESTADUAL DO RIO DOCE","OIUTREM, RPPN Feliciano Miguel Abdala, VALE DO SOL","","Estável","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus","Leptodactylus notoaktites","Leptodactylus notoaktites","Heyer, 1978","Rãnzinha-pingo-de-chuva","Anfíbios","09/2018","Menos Preocupante","","","Leptodactylus notoaktites é endêmica do Brasil, do bioma Mata Atlântica. Possui ampla distribuição nos estados de São Paulo, Paraná e Santa Catarina. A espécie é comum e frequentemente encontrada nos locais onde ocorre, habita áreas abertas naturais e alteradas, bordas e clareiras de floresta. Ocorre em várias unidades de conservação. Não há ameaças evidentes que possam colocar a espécie em risco de extinção. Por essas razões, Leptodactylus notoaktites foi avaliada como Menos Preocupante (LC).","Sim","Não","Paraná, Santa Catarina, São Paulo","|Sudeste|Sul|","Mata Atlântica","Sub-bacia Iguaçu Sub-bacia Litoral RJ SP Sub-bacia Litoral SP PR SC Sub-bacia Paranapanema Sub-bacia Uruguai Alto","APA Guaraqueçaba, PARNA Campos Gerais, PARNA da Serra do Itajaí, PARNA Guaricana","APA SERRA DO MAR, ÁREA DE PROTEÇÃO AMBIENTAL DO RIO VERDE, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DO PIRAQUARA, PARQUE ESTADUAL CARLOS BOTELHO, PARQUE ESTADUAL CAVERNA DO DIABO, PARQUE ESTADUAL DO RIO TURVO, PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","RPPN Fazenda Figueira","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Physalaemus","Physalaemus lateristriga","Physalaemus lateristriga","(Steindachner, 1864)","","Anfíbios","09/2018","Menos Preocupante","","","Physalaemus lateristriga é endêmica do Brasil, com distribuição entre o sul do estado de São Paulo e Santa Catarina. Sua extensão de ocorrência calculada é de 62.149m2, trata-se de espécie abundante e frequente ao longo de sua distribuição. Ocorre em diversas unidades de conservação e não há ameaças significativas que possam levar a espécie à extinção. Portanto, Physalaemus lateristriga foi avaliada como Menos Preocupante (LC).","Sim","Não","Paraná, Santa Catarina, São Paulo","|Sudeste|Sul|","Mata Atlântica","Sub-bacia Iguaçu Sub-bacia Litoral RJ SP Sub-bacia Litoral SP PR SC Sub-bacia Paranapanema Sub-bacia Tietê","PARNA Campos Gerais","APA QUILOMBOS DO MéDIO RIBEIRA, ÁREA DE PROTEÇÃO AMBIENTAL DO RIO VERDE, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, ÁREA DE PROTEçãO AMBIENTAL SERRA DONA FRANCISCA, PARQUE ESTADUAL CARLOS BOTELHO, PARQUE ESTADUAL DA SERRA DO TABULEIRO","","","Estável","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Physalaemus","Physalaemus riograndensis","Physalaemus riograndensis","Milstead, 1960","","Anfíbios","09/2018","Menos Preocupante","","","Physalaemus riograndensis é conhecida para Argentina, Brasil, Paraguai e Uruguai. No Brasil, possui ampla distribuição no estado do Rio Grande do Sul, sendo registrada também no estado de Santa Catarina, no município de Laguna. É uma espécie comum em campos naturais e mais rara em ambientes moderadamente antropizados. Embora a conversão dos campos nativos em áreas de plantio possa representar uma ameaça local, a espécie possui ampla distribuição e ocorre em unidades de conservação. Portanto, Physalaemus riograndensis foi avaliada como Menos Preocupante (LC).","Não","Não","Rio Grande do Sul, Santa Catarina","|Sul|","Mata Atlântica, Pampa","Sub-bacia Guaíba Sub-bacia Ibicuí Sub-bacia Litoral RS Sub-bacia Litoral SP PR SC Sub-bacia Uruguai Médio","","PARQUE ESTADUAL DE ITAPEVA, RESERVA BIOLóGICA DO SãO DONATO","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Odontophrynidae","Proceratophrys","Proceratophrys laticeps","Proceratophrys laticeps","Izecksohn & Peixoto, 1981","Sapo-de-chifres","Anfíbios","09/2018","Menos Preocupante","","","Proceratophrys laticeps é uma espécie endêmica do Brasil, com distribuição na Mata Atlântica costeira, com registros entre Sergipe e Espírito Santo. É uma espécie florestal, que pode ser encontrada em matas primárias e secundárias. Sua extensão de ocorrência calculada é de 44.138km2. é comumente encontrada, ocorre em unidades de conservação e não há ameaças que possam afetar toda a sua população. Portanto, Proceratophrys laticeps foi avaliada como Menos Preocupante (LC).","Sim","Não","Bahia, Espírito Santo, Sergipe","|Nordeste|Sudeste|","Mata Atlântica","Sub-bacia Contas Sub-bacia Doce Sub-bacia Jequitinhonha Sub-bacia Litoral BA ES Sub-bacia Litoral ES Sub-bacia Litoral SE","REBIO Augusto Ruschi, REBIO de Una, REVIS Una","ÁREA DE PROTEÇÃO AMBIENTAL COSTA DE ITACARÉ/ SERRA GRANDE, ÁREA DE PROTEÇÃO AMBIENTAL DO PICO DO GOIAPABA-AÇU, ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA","","","Estável","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudis","Pseudis cardosoi","Pseudis cardosoi","Kwet, 2000","Rã-d'água","Anfíbios","09/2018","Menos Preocupante","","","Pseudis cardosoi é endêmica do Brasil, ocorre no Bioma Mata Atlântica, nos campos de altitude dos estados do Paraná, Santa Catarina e Rio Grande do Sul. A espécie é abundante e frequentemente encontrada. Sua extensão de ocorrência calculada é de 42.249km2. Está presente em algumas unidades de conservação e não há ameaças significativas que apresentem risco à espécie. Portanto, Pseudis cardosoi foi avaliada como Menos Preocupante (LC).","Sim","Não","Paraná, Rio Grande do Sul, Santa Catarina","|Sul|","Mata Atlântica","Sub-bacia Guaíba Sub-bacia Iguaçu Sub-bacia Litoral RS Sub-bacia Litoral SP PR SC Sub-bacia Uruguai Alto","Parna Aparados da Serra, PARNA São Joaquim, REVIS dos Campos de Palmas","ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL","RPPN Fazenda Araucária","","Estável","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Physalaemus","Physalaemus aguirrei","Physalaemus aguirrei","Bokermann, 1966","Rãzinha-do-folhiço","Anfíbios","09/2018","Menos Preocupante","","","Physalaemus aguirrei é endêmica do Brasil, com registros do extremo sul do estado da Bahia ao norte do estado do Espírito Santo; e um registro em Minas Gerais, no município de Poté. É encontrada no solo da floresta, bordas de mata e habitats degradados, incluindo pastagens. Sua extensão de ocorrência calculada é de 54.333km2, embora haja perda de vegetação nativa em alguns locais nessa área, não há ameaças que que possam afetar toda a sua população. É uma espécie comum e ocorre em unidades de conservação. Portanto, Physalaemus aguirrei foi avaliada como Menos Preocupante (LC).","Sim","Não","Bahia, Espírito Santo, Minas Gerais","|Nordeste|Sudeste|","Mata Atlântica","Sub-bacia Doce Sub-bacia Litoral BA ES Sub-bacia Litoral ES","FLONA de Goytacazes, PARNA do Descobrimento, REBIO do Córrego do Veado","ÁREA DE PROTEÇÃO AMBIENTAL DO ALTO DO MUCURI","BRONZON","","Estável","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Pithecopus","Pithecopus rohdei","Phyllomedusa rohdei","(Mertens, 1926)","Perereca-das-folhagens","Anfíbios","09/2018","Menos Preocupante","","","Pithecopus rohdei é endêmica do Brasil e possui ampla distribuição na Mata Atlântica, ocorrendo desde o estado da Bahia até o estado do Rio de Janeiro, incluindo Minas Gerais. É uma espécie comum, que pode ser encontrada em ambientes antropizados, incluindo pastagens. Não há ameaças que possam afetar a sua população como um todo. Portanto, Pithecopus rohdei foi avaliada como Menos Preocupante (LC).","Sim","Não","Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo","|Nordeste|Sudeste|","Mata Atlântica","Sub-bacia Contas Sub-bacia Doce Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jequitinhonha Sub-bacia Litoral ES Sub-bacia Litoral RJ Sub-bacia Litoral SP Sub-bacia Paraíba do Sul Sub-bacia Tietê","APA Petrópolis, FLONA Mario Xavier, PARNA da Tijuca, REBIO Augusto Ruschi, REBIO União","APA DA PEDRA BRANCA, APA DA PRAINHA, APA DE GRUMARI, ÁREA DE PROTEçãO AMBIENTAL ALTO TABOãO, ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SAPIATIBA, ÁREA DE PROTEÇÃO AMBIENTAL DE GERICINÓ/MENDANHA, ÁREA DE PROTEçãO AMBIENTAL DO ALTO IGUAçU, ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA, ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CORREDOR ECOLÓGICO LAGOA ENCANTADA / SERRA DO CONDURU, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE ESTADUAL DO MENDANHA, PARQUE ESTADUAL DO RIO DOCE, PARQUE NATURAL MUNICIPAL BOSQUE DA BARRA, PARQUE NATURAL MUNICIPAL DA PRAINHA, PARQUE NATURAL MUNICIPAL DA SERRA DO MENDANHA, PARQUE NATURAL MUNICIPAL DE GRUMARI","OIUTREM","","Estável","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Phyllomedusa","Phyllomedusa distincta","Phyllomedusa distincta","Lutz, 1950","Perereca-das-folhagens","Anfíbios","09/2018","Menos Preocupante","","","Phyllomedusa distincta é endêmica do Brasil, conhecida desde o sudeste do Estado de São Paulo até o nordeste do Rio Grande do Sul. Possui distribuição ampla, ocorre em florestas primárias e secundárias úmidas, incluindo bordas de mata, e foi registrada em algumas unidades de conservação. Não há ameaças evidentes que possam afetar sua população como um todo. Portanto, Phyllomedusa distincta foi avaliada como Menos Preocupante (LC).","Sim","Não","Paraná, Rio Grande do Sul, Santa Catarina, São Paulo","|Sudeste|Sul|","Mata Atlântica","Sub-bacia Iguaçu Sub-bacia Litoral RJ SP Sub-bacia Litoral RS Sub-bacia Litoral SP Sub-bacia Litoral SP PR SC Sub-bacia Paranapanema Sub-bacia Tietê","APA Cananéia-Iguape-Peruíbe, APA Guaraqueçaba, FLONA Três Barras, PARNA Campos Gerais, PARNA Superagui","APA ILHA COMPRIDA, APA SERRA DO MAR, ÁREA DE PROTEÇÃO AMBIENTAL DO PASSAUNA, ÁREA DE PROTEÇÃO AMBIENTAL DO RIO VERDE, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DO PIRAQUARA, ÁREA DE PROTEÇÃO AMBIENTAL MUNICIPAL DO CAPIVARI-MONOS, ÁREA DE PROTEçãO AMBIENTAL ROTA DO SOL, PARQUE ESTADUAL CARLOS BOTELHO, PARQUE ESTADUAL DA CAMPINA DO ENCANTADO, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE ESTADUAL DA SERRA DO TABULEIRO, PARQUE ESTADUAL DA SERRA FURADA, PARQUE ESTADUAL DO ITINGUÇU, PARQUE ESTADUAL INTERVALES, PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA, PARQUE NATURAL MUNICIPAL MORRO DO CÉU","RPPN Fazenda Figueira","","Estável","","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação de Répteis e Anfíbios Ameaçados da Região Sul do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Physalaemus","Physalaemus henselii","Physalaemus henselii","(Peters, 1872)","","Anfíbios","09/2018","Menos Preocupante","","","Physalaemus henselii é conhecida para Argentina, Brasil e Uruguai. No Brasil, possui ampla distribuição na região sul, onde é conhecida de diversos municípios no Rio de Grande do Sul e no município de Laguna, em Santa Catarina. É uma espécie frequente e abundante durante períodos de baixa temperatura, que pode ser encontrada em áreas abertas naturais ou antropizadas. Ocorre em unidades de conservação e não há ameaças que possam afetar toda a sua população. Portanto, Physalaemus henselii foi avaliada como Menos Preocupante (LC).","Não","Não","Rio Grande do Sul, Santa Catarina","|Sul|","Mata Atlântica, Pampa","Sub-bacia Guaíba Sub-bacia Ibicuí Sub-bacia Litoral RS Sub-bacia Litoral SP PR SC Sub-bacia Negro RS Sub-bacia Uruguai Alto Sub-bacia Uruguai Médio","APA Ibirapuitã, PARNA da Lagoa do Peixe","ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE","","","Estável","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudis","Pseudis minuta","Pseudis minuta","Günther, 1858","","Anfíbios","09/2018","Menos Preocupante","","","Pseudis minuta é encontrada no Brasil, Uruguai e Argentina. No Brasil, possui ampla distribuição no Rio Grande do Sul e sul de Santa Catarina, com registros nos biomas Pampa e Mata Atlântica. A espécie é abundante e frequentemente encontrada nas áreas de ocorrência, não havendo ameaças diretas significativas que possam levá-la à extinção. Além disso, ocorre em diversas unidades de conservação. Portanto, Pseudis minuta foi avaliada como Menos Preocupante (LC).","Não","Não","Rio Grande do Sul, Santa Catarina","|Sul|","Mata Atlântica, Pampa","Sub-bacia Guaíba Sub-bacia Ibicuí Sub-bacia Litoral RS Sub-bacia Litoral SP PR SC Sub-bacia Uruguai Alto Sub-bacia Uruguai Médio","APA Ibirapuitã, ESEC do Taim, PARNA da Lagoa do Peixe","ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE, PARQUE ESTADUAL DE ITAPEVA, PARQUE ESTADUAL DO TURVO","RPPN Reserva Particular Professor Delmar Harry dos Reis","","Estável","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Bufonidae","Rhinella","Rhinella achavali","Rhinella achavali","(Maneyro, Arrieta & de Sá, 2004)","","Anfíbios","09/2018","Menos Preocupante","","","Rhinella achavali ocorre na América do Sul, no Uruguai e Brasil. É elegível para a avaliação regional. No Brasil, possui ampla distribuição no estado do Rio Grande do Sul, sendo comum, porém não abundante. Embora possa ser localmente afetada pela conversão de habitat, não existem ameaças evidentes que possam afetar a espécie como um todo. Portanto, Rhinella achavali foi avaliada como Menos Preocupante (LC).","Não","Não","Rio Grande do Sul","|Sul|","Mata Atlântica, Pampa","Sub-bacia Guaíba Sub-bacia Ibicuí Sub-bacia Litoral RS","","","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Bufonidae","Melanophryniscus","Melanophryniscus tumifrons","Melanophryniscus tumifrons","(Boulenger, 1905)","Sapinho-de-barriga-colorida","Anfíbios","09/2018","Menos Preocupante","","","Melanophryniscus tumifronsé uma espécie endêmica do Brasil, ocorrendo no estado do Rio Grande do Sul. Embora sua extensão de ocorrência calculada seja de 3.533km² e existam alterações no seu hábitat em algumas localidades, a espécie é registrada com certa frequência e as ameaças não devem colocar a espécie em risco de extinção num futuro próximo. Por esses motivos, Melanophryniscus tumifrons foi categorizada como Menos Preocupante (LC).","Sim","Não","Rio Grande do Sul","|Sul|","Mata Atlântica, Pampa","Sub-bacia Guaíba","","ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Bufonidae","Melanophryniscus","Melanophryniscus atroluteus","Melanophryniscus atroluteus","(Miranda-Ribeiro, 1920)","Sapinho-de-barriga-vermelha","Anfíbios","09/2018","Menos Preocupante","","","Melanophryniscus atroluteus é conhecida para a Argentina, Paraguai, Uruguai e Brasil, onde possui ampla distribuição no estado do Rio Grande do Sul. Durante o período reprodutivo é encontrada em abundância, tanto em ambientes bem preservados, como campos nativos, quanto em ambientes antropizados. Embora o hábitat da espécie possa ser afetado pela introdução em larga escala de monoculturas florestais, não há indícios de risco de extinção. Portanto, Melanophryniscus atroluteus foi avaliada como Menos Preocupante (LC).","Não","Não","Rio Grande do Sul","|Sul|","Mata Atlântica, Pampa","Sub-bacia Guaíba Sub-bacia Ibicuí Sub-bacia Litoral RS Sub-bacia Uruguai Médio","APA Ibirapuitã","PARQUE ESTADUAL DO TURVO","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Bufonidae","Melanophryniscus","Melanophryniscus pachyrhynus","Melanophryniscus pachyrhynus","(Miranda-Ribeiro, 1920)","Sapinho-de-barriga-vermelha-marmoreada","Anfíbios","09/2018","Menos Preocupante","","","Melanophryniscus pachyrhynus é conhecida para o Uruguai e Brasil, onde está associada às serras pampianas do estado do Rio Grande do Sul. A espécie é encontrada facilmente em sua área de ocorrência, principalmente durante o período reprodutivo. Pode ser localmente afetada pela perda e conversão de hábitat, mas essas ameaças não devem impactar todas as populações da espécie. Por esses motivos, Melanophryniscus pachyrhynus foi avaliada como Menos Preocupante (LC).","Não","Não","Rio Grande do Sul","|Sul|","Pampa","Sub-bacia Guaíba Sub-bacia Litoral RS","","","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Phyllodytes","Phyllodytes tuberculosus","Phyllodytes tuberculosus","Bokermann, 1966","Perereca-das-bromélias","Anfíbios","09/2018","Dados Insuficientes","","","Phyllodytes tuberculosus é endêmica do Brasil, com registro confirmado apenas em sua localidade-tipo, em Maracás, estado da Bahia. A espécie é bromelígena, encontrada em bromélias terrestres de área aberta e borda de mata. O local encontra-se bastante alterado pela conversão de áreas naturais em pastagens. Há registros atribuídos à espécie em outras localidades da Bahia e nordeste de Minas Gerais, mas precisam ser confirmados, pois podem estar sendo confundidos com outras espécies, especialmente P. praeceptor. Assim, as informações, principalmente sobre a distribuição da espécie, não são suficientes para uma avaliação adequada do seu risco de extinção. Por isso, Phyllodytes tuberculosus foi avaliada como Dados Insuficientes (DD).","Sim","Não","Bahia","|Nordeste|","Mata Atlântica","Sub-bacia Itapecuru-Paraguaçu","","","","","Desconhecida","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 5 - Uso de recursos biológicos|5.2 - Coleta de plantas terrestres|5.2.2 - Efeitos indiretos (a espécie não é o alvo) 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Leptodactylus","Leptodactylus spixi","Leptodactylus spixi","Heyer, 1983","","Anfíbios","09/2018","Menos Preocupante","","","Leptodactylus spixi é endêmica do Brasil e possui ampla distribuição na Mata Atlântica, podendo ser encontrada desde a Paraíba até o Rio de Janeiro, incluindo o estado de Minas Gerais. A espécie pode ser encontrada em florestas primárias e secundárias, incluindo borda de mata, e não há ameaças evidentes que possam colocá-la em risco de extinção. Por essas razões, Leptodactylus spixi foi avaliada como Menos Preocupante (LC).","Sim","Não","Bahia, Espírito Santo, Minas Gerais, Paraíba, Pernambuco, Rio de Janeiro","|Nordeste|Sudeste|","Caatinga, Mata Atlântica","Sub-bacia Contas Sub-bacia Doce Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jequitinhonha Sub-bacia Litoral AL PE PB Sub-bacia Litoral BA ES Sub-bacia Litoral CE PB Sub-bacia Litoral ES Sub-bacia Litoral RJ Sub-bacia Paraíba do Sul","APA Petrópolis, FLONA Mario Xavier, PARNA da Tijuca, REBIO Augusto Ruschi, REBIO de Saltinho, REBIO do Tinguá, REBIO Guaribas","APA DA PRAINHA, APA DE GRUMARI, ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE, ÁREA DE PROTEÇÃO AMBIENTAL DE GERICINÓ/MENDANHA, ÁREA DE PROTEÇÃO AMBIENTAL DE MANGARATIBA, ÁREA DE PROTEçãO AMBIENTAL DO ALTO IGUAçU, ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA, ÁREA DE PROTEçãO AMBIENTAL SURUí, ESTAÇÃO ECOLÓGICA ESTADUAL WENCESLAU GUIMARÃES, PARQUE ESTADUAL CUNHAMBEBE, PARQUE ESTADUAL DO FORNO GRANDE, PARQUE ESTADUAL DO MENDANHA, PARQUE ESTADUAL DO RIO DOCE, PARQUE NATURAL MUNICIPAL DA PRAINHA, PARQUE NATURAL MUNICIPAL DA SERRA DO MENDANHA, PARQUE NATURAL MUNICIPAL DE GRUMARI","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Bufonidae","Melanophryniscus","Melanophryniscus vilavelhensis","Melanophryniscus vilavelhensis","Steinbach-Padilha, 2008","","Anfíbios","09/2018","Menos Preocupante","","","Melanophryniscus vilavelhensis é endêmica do Brasil e possui registros de ocorrência apenas para os Parques Estaduais de Vila Velha e do Guartelá, ambos no Paraná. Os dois registros distam 80 km entre si. Embora tenha ocorrência relativamente restrita, a espécie ocorre em áreas protegidas e bem preservada, é abundante e facilmente encontrada no Parque Estadual de Vila Velha. Não foram identificadas ameaças que a coloquem em risco de extinção. Por esses motivos, Melanophryniscus vilavelhensis foi avaliada como Menos Preocupante (LC).","Sim","Não","Paraná","|Sul|","Cerrado, Mata Atlântica","Sub-bacia Paranapanema","","ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA","","","Desconhecida","","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação de Répteis e Anfíbios Ameaçados da Região Sul do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Odontophrynidae","Odontophrynus","Odontophrynus carvalhoi","Odontophrynus carvalhoi","Savage & Cei, 1965","","Anfíbios","09/2018","Menos Preocupante","","","Odontophrynus carvalhoi é endêmica do Brasil e possui ampla distribuição na região Nordeste e nos estados de Minas Gerais e Goiás. Trata-se de uma espécie predominante do bioma Caatinga, mas também ocorre nas bordas de florestas úmida, comumente encontrada em torno de 800 metros de altitude. Embora exista perda de vegetação natural na sua área de distribuição, não há evidências de ameaças que possam colocá-la em risco de extinção. Por estas razões, Odontophrynus carvalhoi foi avaliada como Menos Preocupante (LC).","Sim","Não","Alagoas, Bahia, Ceará, Goiás, Minas Gerais, Paraíba, Pernambuco, Piauí","|Centro-Oeste|Nordeste|Sudeste|","Caatinga, Cerrado, Mata Atlântica","Sub-bacia Contas Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jequitinhonha Sub-bacia Litoral AL PE PB Sub-bacia Litoral CE PB Sub-bacia Litoral CE PI Sub-bacia Parnaíba Alto Sub-bacia Parnaíba Baixo Sub-bacia São Francisco Alto Sub-bacia São Francisco Médio Sub-bacia São Francisco Submédio Sub-bacia Tocantins Alto","PARNA da Chapada Diamantina, PARNA da Serra da Canastra, PARNA de Ubajara","ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO RIO PANDEIROS, ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE BATURITÉ, ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ, PARQUE ESTADUAL DAS SETE PASSAGENS","","","Estável","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Phasmahyla","Phasmahyla exilis","Phasmahyla exilis","(Cruz, 1980)","Perereca-das-folhagens","Anfíbios","09/2018","Menos Preocupante","","","Phasmahyla exilis é endêmica do Brasil, conhecida de registros na Mata Atlântica dos estados do Espírito Santo e Bahia. É uma espécie com necessidade de habitat específico, encontrada em remansos de riachos encachoeirados. Embora sua extensão de ocorrência calculada seja de 5.252km2, é possível que ocorra em mais localidades, pois é uma espécie difícil de ser avistada. Ocorre em unidades de conservação, inclusive de proteção integral, e não foram identificadas ameaças que afetem toda a população. Portanto, Phasmahyla exilis foi avaliada como Menos Preocupante (LC).","Sim","Não","Bahia, Espírito Santo","|Nordeste|Sudeste|","Mata Atlântica","Sub-bacia Litoral BA ES Sub-bacia Litoral ES","PARNA do Descobrimento, REBIO Augusto Ruschi","ÁREA DE PROTEçãO AMBIENTAL MUNICIPAL DO MONTE MOCHUARA","","","Desconhecida","","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Physalaemus","Physalaemus gracilis","Physalaemus gracilis","(Boulenger, 1883)","","Anfíbios","09/2018","Menos Preocupante","","","Physalaemus gracilis ocorre na Argentina, Brasil e Uruguai. No Brasil, possui ampla distribuição nos biomas Mata Atlântica e Pampa, com registros de ocorrência entre os estados do Paraná e Rio Grande do Sul. Trata-se de uma espécie abundante e frequente, que pode ser encontrada em ambientes antropizados. Não há evidencias de ameaças que possam colocá-la em risco de extinção. Portanto, Physalaemus gracilis foi avaliada como Menos Preocupante (LC).","Não","Não","Paraná, Rio Grande do Sul, Santa Catarina","|Sul|","Cerrado, Mata Atlântica, Pampa","Sub-bacia Guaíba Sub-bacia Ibicuí Sub-bacia Iguaçu Sub-bacia Litoral RJ SP Sub-bacia Litoral RS Sub-bacia Litoral SP PR SC Sub-bacia Paranapanema Sub-bacia Uruguai Alto","ESEC do Taim, FLONA Piraí do Sul, PARNA da Lagoa do Peixe, PARNA São Joaquim, REVIS dos Campos de Palmas","ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DA ESCARPA DEVONIANA, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, PARQUE ESTADUAL DE ITAPEVA, PARQUE ESTADUAL DO PAPAGAIO-CHARãO, PARQUE NATURAL MUNICIPAL DE SERTãO","RPPN Reserva Particular Professor Delmar Harry dos Reis","","Estável","","","","","","",""
